team_id,team_name,pace_rating,pace_rank,ESPN_conference_id,conference_name,kenpom_name,Tempo,AdjTempo,RankTempo,RankAdjTempo
94,N Kentucky,7.277659711724998,299,45,Horizon,Northern Kentucky,65.0524,64.137,323,327
164,Rutgers,7.274222939068658,300,7,Big 10,Rutgers,65.5435,64.8975,304,295
2463,CSU Northridge,7.255073574769007,301,9,Big West,Cal St. Northridge,65.2105,64.9406,317,293
2350,Loyola Chicago,7.25012689508441,302,18,MVC,Loyola Chicago,65.5308,64.6877,305,308
119,Towson,7.244703543320469,303,10,CAA,Towson,66.0611,64.7567,280,302
304,Idaho State,7.239901806441903,304,5,Big Sky,Idaho St.,65.6391,63.9117,300,333
295,Old Dominion,7.239353643471003,305,11,Conference USA,Old Dominion,65.7763,64.3285,297,321
311,Maine,7.238518950534672,306,1,American East,Maine,66.1591,66.2438,276,229
2197,E Illinois,7.227139190036436,307,20,OVC,Eastern Illinois,66.3362,64.7441,271,305
2217,Fairfield,7.2175719882032325,308,13,MAAC,Fairfield,65.1204,64.257,320,323
2515,Radford,7.183114023240672,309,6,Big South,Radford,64.7624,64.1371,334,326
2352,Loyola (MD),7.175324295263776,310,22,Patriot League,Loyola MD,65.8754,64.5811,289,316
300,UC Irvine,7.167918898857536,311,9,Big West,UC Irvine,65.0413,65.1903,324,279
21,San Diego State,7.161963488324395,312,44,MWC,San Diego St.,65.3113,65.3966,315,268
103,Boston College,7.153725470078214,313,2,ACC,Boston College,65.4551,64.9122,310,294
135,Minnesota,7.137855688308545,314,7,Big 10,Minnesota,65.3617,65.1064,314,285
62,Hawai'i,7.115246955141832,315,9,Big West,Hawaii,65.5442,65.1815,303,280
58,South Florida,7.114222638535552,316,62,AAC,South Florida,65.8246,65.0108,293,290
116,Mount St Mary,7.110554577238112,317,19,Northeast,Mount St. Mary's,64.9138,63.3073,331,341
36,Colorado State,7.072718080480114,318,44,MWC,Colorado St.,65.8418,65.3555,290,270
44,American,7.072423081362763,319,22,Patriot League,American,65.5956,64.9483,301,291
2166,Davidson,7.071908738259712,320,3,A10,Davidson,65.6444,64.6942,299,307
2026,Appalachian St,7.065172238896687,321,27,Sun Belt,Appalachian St.,64.9815,64.4935,328,317
248,Houston,7.040954830846067,322,62,AAC,Houston,65.0876,63.6418,322,338
194,Ohio State,7.008016509542643,323,7,Big 10,Ohio St.,65.1113,65.0397,321,289
2086,Butler,7.002476983827265,324,4,Big East,Butler,64.9435,63.8681,330,334
315,Niagara,6.978149781947411,325,13,MAAC,Niagara,65.1776,64.3072,318,322
25,California,6.965363055696184,326,21,PAC-12,California,64.9564,64.0574,329,330
2627,Tarleton,6.956075616469059,327,30,WAC,Tarleton St.,64.5809,63.0831,337,343
2174,Detroit Mercy,6.9437102287942025,328,45,Horizon,Detroit Mercy,65.4922,64.8673,308,296
104,Boston Univ,6.8896095975976435,329,22,Patriot League,Boston University,65.0007,65.0889,326,286
111,Northeastern,6.874029152688878,330,10,CAA,Northeastern,65.4219,64.4053,311,320
2608,Saint Mary's,6.862001413072182,331,29,WCC,Saint Mary's,65.3723,63.5522,313,339
2747,Wofford,6.849557976414902,332,24,Southern,Wofford,64.81,64.2026,332,325
2934,CSU Bakersfield,6.84552478622189,333,9,Big West,Cal St. Bakersfield,64.6115,64.4101,336,319
261,Vermont,6.777215426865914,334,1,American East,Vermont,65.1707,64.9479,319,292
2426,Navy,6.776273556033022,335,22,Patriot League,Navy,64.4793,64.7096,338,306
326,Texas State,6.763197633587713,336,27,Sun Belt,Texas St.,64.6294,63.8099,335,335
68,Boise State,6.659564567286638,337,44,MWC,Boise St.,64.7873,64.4471,333,318
2739,Green Bay,6.646485871191341,338,45,Horizon,Green Bay,64.9905,64.6516,327,311
339,Evansville,6.585620497203021,339,18,MVC,Evansville,64.2653,64.0628,341,329
